,Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint
0,k403,Ramicane,Male,21,16,45
1,s185,Capomulin,Female,3,17,45
2,x401,Capomulin,Female,16,15,45
3,m601,Capomulin,Male,22,17,45
4,g791,Ramicane,Male,11,16,45
5,s508,Ramicane,Male,1,17,45
6,f966,Capomulin,Male,16,17,20
7,m546,Ramicane,Male,18,16,45
8,z578,Ramicane,Male,11,16,45
9,j913,Ramicane,Female,4,17,45
10,u364,Capomulin,Male,18,17,45
11,n364,Ramicane,Male,4,17,45
12,y793,Capomulin,Male,17,17,45
13,r554,Capomulin,Female,8,17,45
14,m957,Capomulin,Female,3,19,45
15,c758,Ramicane,Male,9,17,45
16,t565,Capomulin,Female,20,17,45
17,a644,Ramicane,Female,7,17,45
18,i177,Ramicane,Male,10,18,45
19,j989,Ramicane,Male,8,19,45
20,i738,Capomulin,Female,23,20,45
21,a520,Ramicane,Male,13,21,45
22,w914,Capomulin,Male,24,21,45
23,r811,Ramicane,Male,9,19,45
24,g288,Capomulin,Male,3,19,45
25,i334,Ramicane,Female,8,20,45
26,q610,Ramicane,Female,18,21,35
27,d251,Ramicane,Female,8,19,45
28,l897,Capomulin,Male,17,19,45
29,c458,Ramicane,Female,23,20,30
30,b742,Capomulin,Male,7,21,45
31,b128,Capomulin,Female,9,22,45
32,j246,Capomulin,Female,21,21,35
33,a411,Ramicane,Male,3,22,45
34,j119,Capomulin,Female,7,23,45
35,w150,Capomulin,Male,23,23,10
36,v923,Capomulin,Female,19,21,45
37,g316,Capomulin,Female,22,22,45
38,s710,Capomulin,Female,1,23,45
39,l509,Capomulin,Male,17,21,45
40,r944,Capomulin,Male,12,25,45
41,e662,Ramicane,Male,8,24,45
42,u196,Ramicane,Male,18,25,45
43,q597,Ramicane,Male,20,25,45
44,a444,Ramicane,Female,10,25,45
45,i557,Capomulin,Female,1,24,45
46,r921,Ramicane,Female,5,25,30
47,w678,Ramicane,Female,5,24,5
48,y449,Ramicane,Male,19,24,15
49,a203,Infubinol,Female,20,23,45
50,a251,Infubinol,Female,21,25,45
51,a262,Placebo,Female,17,29,45
52,a275,Ceftamin,Female,20,28,45
53,a366,Stelasyn,Female,16,29,30
54,a401,Zoniferol,Female,8,25,45
55,a457,Ketapril,Female,11,30,10
56,a492,Stelasyn,Male,20,25,45
57,a577,Infubinol,Female,6,25,30
58,a685,Infubinol,Male,8,30,45
59,a699,Propriva,Female,5,28,45
60,a788,Zoniferol,Male,5,30,30
61,a818,Naftisol,Female,12,28,45
62,a897,Placebo,Male,7,28,45
63,a963,Stelasyn,Female,23,27,45
64,b313,Zoniferol,Male,12,27,25
65,b447,Ceftamin,Male,2,30,0
66,b487,Ceftamin,Female,6,28,25
67,b559,Naftisol,Male,20,26,45
