Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint,Tumor Volume (mm3),Metastatic Sites
a203,Infubinol,Female,20,23,45,67.97341878,2
a251,Infubinol,Female,21,25,45,65.52574285,1
a262,Placebo,Female,17,29,45,70.71762058,4
a275,Ceftamin,Female,20,28,45,62.99935619,3
a366,Stelasyn,Female,16,29,30,63.44068627,1
a401,Zoniferol,Female,8,25,45,66.79415599,4
a411,Ramicane,Male,3,22,45,45.46667714,1
a444,Ramicane,Female,10,25,45,45.0,0
a457,Ketapril,Female,11,30,10,49.78341894,0
a492,Stelasyn,Male,20,25,45,60.12201052,1
a520,Ramicane,Male,13,21,45,45.0,1
a577,Infubinol,Female,6,25,30,57.03186187,2
a644,Ramicane,Female,7,17,45,46.91089166,1
a685,Infubinol,Male,8,30,45,66.08306589,3
a699,Propriva,Female,5,28,45,62.19141437,1
a788,Zoniferol,Male,5,30,30,60.41370908,1
a818,Naftisol,Female,12,28,45,74.99776443,2
a897,Placebo,Male,7,28,45,72.25596306,4
a963,Stelasyn,Female,23,27,45,62.76509317,1
b128,Capomulin,Female,9,22,45,45.65133131,2
b313,Zoniferol,Male,12,27,25,55.74514628,1
b447,Ceftamin,Male,2,30,0,45.0,0
b487,Ceftamin,Female,6,28,25,56.05774909,1
b559,Naftisol,Male,20,26,45,73.05136339,1
b742,Capomulin,Male,7,21,45,45.0,0
b759,Ceftamin,Female,12,25,30,55.74282869,1
b879,Stelasyn,Female,4,26,45,72.55523894,2
c139,Infubinol,Male,11,28,45,72.2267309,2
c264,Zoniferol,Female,11,27,45,67.94212107,2
c282,Placebo,Male,12,27,45,65.81516535,2
c302,Zoniferol,Female,10,29,45,64.57522157,4
c326,Infubinol,Female,18,25,5,45.0,0
c402,Stelasyn,Female,1,27,45,74.04039018,3
c458,Ramicane,Female,23,20,30,45.72227949,2
c559,Zoniferol,Female,19,28,45,61.84005842,4
c580,Ketapril,Male,22,25,30,58.04656941,3
c757,Placebo,Male,9,27,45,69.04284082,3
c758,Ramicane,Male,9,17,45,46.94094512,1
c766,Placebo,Female,13,26,45,69.82314577,4
c819,Ketapril,Male,21,25,40,62.17570465,1
c832,Ketapril,Male,18,29,45,65.41595451,3
c895,Infubinol,Female,7,29,30,60.96971133,2
c927,Propriva,Female,4,26,40,64.18322918,4
d133,Zoniferol,Male,5,30,0,45.0,0
d164,Zoniferol,Male,21,28,10,47.47464468,1
d251,Ramicane,Female,8,19,45,45.0,2
d474,Ketapril,Male,18,27,40,60.23373278,1
e213,Naftisol,Male,8,27,45,63.1056963,4
e227,Placebo,Male,1,30,45,73.21293851,3
e291,Naftisol,Female,14,29,25,55.1389525,2
e476,Infubinol,Male,23,26,45,62.43540402,1
e584,Naftisol,Male,9,27,45,68.3597767,4
e662,Ramicane,Male,8,24,45,46.40908385,2
f129,Zoniferol,Female,11,29,15,49.98830246,1
f234,Stelasyn,Male,14,28,35,57.74875831,2
f278,Ketapril,Male,12,30,5,48.19457788,0
f345,Infubinol,Male,23,26,45,60.91876652,1
f394,Zoniferol,Male,19,30,5,47.03309963,0
f436,Ceftamin,Female,3,25,15,48.72207785,2
f545,Zoniferol,Female,20,26,45,73.32443228,1
f932,Ketapril,Male,15,29,0,45.0,0
f966,Capomulin,Male,16,17,20,45.0,0
f993,Naftisol,Male,21,28,20,52.07951009,1
g107,Ketapril,Female,2,29,35,71.90511721,0
g288,Capomulin,Male,3,19,45,46.30400254,1
g296,Zoniferol,Female,14,29,45,68.16319517,4
g316,Capomulin,Female,22,22,45,46.80922469,2
g497,Ketapril,Male,19,28,45,69.87225079,2
g558,Propriva,Male,8,29,40,61.77496268,4
g570,Propriva,Male,16,29,45,70.49278763,2
g791,Ramicane,Male,11,16,45,45.85153062,1
g867,Stelasyn,Female,9,25,15,51.06041924,1
g989,Propriva,Female,21,26,35,62.57087961,2
h246,Ketapril,Male,13,30,45,74.10408567,2
h333,Stelasyn,Male,21,27,30,55.45528975,2
h428,Ketapril,Female,1,27,0,45.0,0
h531,Ceftamin,Male,5,27,5,47.784681799999994,0
i177,Ramicane,Male,10,18,45,45.0,3
i334,Ramicane,Female,8,20,45,45.0,2
i386,Infubinol,Female,23,29,40,67.28962147,4
i477,Placebo,Female,3,30,10,47.52063206,0
i557,Capomulin,Female,1,24,45,47.68596303,1
i635,Propriva,Male,21,26,45,58.63340414,3
i669,Placebo,Female,18,27,25,53.30318455,2
i738,Capomulin,Female,23,20,45,45.59568527,2
i901,Stelasyn,Male,23,29,45,65.34181087,0
j119,Capomulin,Female,7,23,45,48.15820939,1
j235,Placebo,Male,6,30,20,52.94290169,1
j246,Capomulin,Female,21,21,35,46.408361299999996,1
j296,Ceftamin,Female,24,30,45,61.84902336,3
j365,Zoniferol,Male,24,28,45,64.29408493,2
j755,Naftisol,Male,23,27,45,69.56362076,1
j913,Ramicane,Female,4,17,45,45.25253427,1
j984,Stelasyn,Female,2,30,45,70.65383162,1
j989,Ramicane,Male,8,19,45,46.34383237,1
k210,Ceftamin,Male,15,28,45,68.92318457,3
k382,Ketapril,Male,22,29,45,73.71561899999999,4
k403,Ramicane,Male,21,16,45,45.0,1
k483,Infubinol,Female,20,30,45,66.19691151,3
k510,Stelasyn,Female,8,27,20,52.10557382,1
k603,Propriva,Male,2,27,20,50.18010935,0
k754,Zoniferol,Female,8,26,20,52.69342276,1
